,StudentId,AssessmentGrade,GE-Grade,GE-Grade_MAX
1304,14986,8,-2.5,-2.5
1305,14987,7,-0.933333333333,-0.7
1306,14987,8,-1.7,-1.7
1307,14989,5,-0.833333333333,0.0
1308,14989,6,-1.3,-1.3
1309,14990,5,-2.52,-2.0
1310,14990,6,-3.9,-3.9
1311,14991,5,-1.86666666667,-0.9
1312,14991,6,-2.4,-2.4
1313,14993,7,-0.933333333333,-0.7
1314,15000,5,-1.46666666667,-0.9
1315,15001,5,-2.76666666667,-2.2
1316,15001,6,-3.7,-3.7
1317,15002,5,-2.55,-1.6
1318,15002,6,-2.9,-2.9
1319,15010,5,-0.02,0.4
1320,15010,6,-0.8,-0.8
1321,15011,6,3.22,5.4
1322,15011,7,5.9,5.9
1323,15015,5,1.3,1.3
1324,15015,6,-0.3,-0.3
1325,15016,5,0.2,0.2
1326,15016,6,0.0,0.0
1327,15018,6,-2.83333333333,-2.2
1328,15019,7,-3.4,-3.4
1329,15022,5,0.133333333333,0.9
1330,15027,7,-1.5,-0.8
1331,15027,8,-2.9,-2.9
1332,15030,6,-0.26,1.2
1333,15030,7,-1.4,-1.4
1334,15031,6,1.16,2.3
1335,15031,7,1.4,1.4
1336,15032,6,-1.1,0.0
1337,15032,7,-1.4,-1.4
1338,15034,5,-2.63333333333,-2.5
1339,15034,6,-3.4,-3.4
1340,15037,5,-1.03333333333,-0.8
1341,15039,5,-0.633333333333,-0.5
1342,15042,6,-1.16666666667,-0.5
1343,15042,7,0.3,0.3
1344,15060,5,-2.35,-2.2
1345,15067,6,-2.1,-1.6
1346,15073,7,-1.6,-0.8
1347,15075,5,-2.1,-1.9
1348,15075,6,-1.85,-1.6
1349,15082,5,-1.75,0.1
1350,15083,5,0.233333333333,0.9
1351,15084,5,-0.02,0.4
1352,15087,7,-3.3,-3.3
1353,15089,6,-3.43333333333,-3.0
1354,15092,6,0.48,1.6
1355,15092,7,-0.9,-0.9
1356,15094,5,0.5,0.5
1357,15094,6,0.1,0.1
1358,15098,6,2.2,3.2
1359,15102,7,0.1,0.1
1360,15109,7,-3.0,-3.0
1361,15135,5,-2.7,-2.7
1362,15135,6,-3.1,-3.1
1363,15136,6,0.4,1.7
1364,15142,6,-2.0,-2.0
1365,15145,5,-2.46666666667,-1.9
1366,15149,5,2.575,3.5
1367,15149,6,0.6,0.6
1368,15159,6,-3.75,-3.5
1369,15160,6,-2.1,-2.1
1370,15161,6,-1.9,-1.8
1371,15162,6,-1.66666666667,-1.2
1372,15172,7,2.42,5.7
1373,15172,8,0.6,0.6
1374,15176,5,-0.333333333333,0.3
1375,15179,6,-1.65,-1.2
1376,15180,6,-1.1,-0.3
