,year,student_id,absence_rate,total
383,2015,10472,0.047619047619,168
384,2015,14272,0.0,171
385,2015,13058,0.0361445783133,166
386,2014,7125,0.00568181818182,176
387,2014,10832,0.132947976879,173
388,2013,3490,0.0457142857143,175
389,2015,14169,0.185393258427,178
390,2014,3426,0.0,175
391,2016,10747,0.0357142857143,28
392,2014,12950,0.0217391304348,184
393,2014,13558,0.00689655172414,145
394,2013,3486,0.0279329608939,179
395,2016,12664,0.0,29
396,2016,16082,0.0,28
397,2016,16119,0.0,29
398,2013,6665,0.0176470588235,170
399,2013,11758,0.027027027027,185
400,2016,13092,0.0,27
401,2014,3175,0.0457142857143,175
402,2015,13115,0.0344827586207,87
403,2014,12928,0.0331491712707,181
404,2015,6363,0.028901734104,173
405,2013,11702,0.0867052023121,173
406,2014,13170,0.0,8
407,2014,3212,0.0,175
408,2015,12716,0.00571428571429,175
409,2013,6896,0.00578034682081,173
410,2014,6705,0.0177514792899,169
411,2016,15667,0.0,29
412,2013,6965,0.0,184
413,2015,13191,0.00558659217877,179
414,2016,14695,0.0,29
415,2014,12559,0.0,182
416,2013,10341,0.0274725274725,182
417,2015,12670,0.0116959064327,171
418,2014,13537,0.0129032258065,155
419,2014,12769,0.108695652174,46
420,2013,6699,0.0,180
421,2012,2361,0.25,4
422,2015,13815,0.028901734104,173
423,2013,11036,0.0,173
424,2014,13168,0.0114285714286,175
425,2016,13846,0.0,29
426,2016,12695,0.0,30
427,2014,10669,0.0,172
428,2013,6918,0.0119760479042,167
429,2015,13873,0.0429447852761,163
430,2013,10604,0.043956043956,182
431,2016,13311,0.0357142857143,28
432,2014,12850,0.225806451613,155
433,2016,12823,0.0,29
434,2016,15407,0.0,29
435,2013,11784,0.00568181818182,176
436,2014,12777,0.102857142857,175
437,2014,3169,0.00571428571429,175
438,2016,16560,0.0344827586207,29
439,2015,15163,0.0144927536232,69
440,2016,16391,0.0,29
441,2016,15789,0.0,28
442,2013,6813,0.00549450549451,182
443,2013,11384,0.0227272727273,176
444,2015,13663,0.00606060606061,165
445,2012,3121,0.136363636364,22
446,2016,13437,0.0344827586207,29
447,2013,6703,0.0224719101124,178
448,2016,13288,0.0,27
449,2015,12790,0.0114285714286,175
450,2016,6708,0.0,26
451,2015,14219,0.00571428571429,175
452,2015,6339,0.117318435754,179
453,2012,6775,1.0,2
454,2015,14213,0.0,167
455,2014,13478,0.00625,160
456,2016,13410,0.0,28
457,2016,15768,0.0,29
458,2015,14190,0.0170454545455,176
459,2012,3065,0.0,2
460,2013,6947,0.0,180
461,2013,11830,0.0222222222222,180
462,2014,12517,0.0117647058824,170
463,2015,6930,0.0409356725146,171
464,2013,3277,0.0444444444444,180
465,2013,6509,0.00546448087432,183
466,2016,16192,0.0,29
467,2016,15847,0.172413793103,29
468,2013,2907,0.0,176
469,2016,10809,0.0,29
470,2015,3424,0.0718562874251,167
471,2012,2999,0.0,59
472,2013,7158,0.0,183
473,2015,12701,0.059880239521,167
474,2016,14033,0.0,28
475,2012,2849,0.6,5
476,2013,11695,0.0882352941176,102
477,2016,10857,0.0,29
478,2015,12508,0.0,172
479,2012,2905,0.0344827586207,58
480,2013,11954,0.0434782608696,161
481,2016,12659,0.0,29
482,2015,14451,0.0125,160
483,2012,6529,0.288888888889,45
484,2016,13917,0.0,29
485,2016,15990,0.0,29
486,2016,16229,0.0357142857143,28
487,2013,11982,0.0330578512397,121
488,2015,6562,0.0,175
489,2016,12043,0.0,29
490,2014,12610,0.0952380952381,168
491,2016,12688,0.0,29
492,2016,15902,0.0,28
493,2015,13016,0.0116279069767,172
494,2015,10782,0.0232558139535,172
495,2014,12511,0.0,175
496,2014,12944,0.0,174
497,2015,12346,0.00571428571429,175
498,2016,12829,0.0,29
499,2014,13126,0.00546448087432,183
500,2015,13281,0.0179640718563,167
501,2014,13400,0.0,176
502,2015,7061,0.148148148148,54
503,2013,11762,0.0971428571429,175
504,2016,15241,0.0344827586207,29
505,2014,13220,0.016393442623,183
506,2015,13685,0.0172413793103,174
507,2015,6864,0.0229885057471,174
