ID,ISDELETED,NAME,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,LASTVIEWEDDATE,LASTREFERENCEDDATE,STUDENT__C,SCHOOL__C,ACTUAL_END_DATE__C,STARTINGGRADE__C,ENDINGGRADE__C,LIVING_ON_CAMPUS__C,DATE_LAST_VERIFIED__C,HIGHEST_SAT_SCORE__C,SOURCE__C,NOTES__C,PURSUING_DEGREE_TYPE__C,START_DATE__C,STATUS__C,TRANSFER_REASON__C,TYPE__C,MAJOR_AREA__C,STUDENT_HS_COHORT__C,NUMBER_OF_MARKING_PERIODS__C,ANTICIPATED_GRADUATION__C,FINAL_GPA__C,GRAD_YEAR__C,MAJOR__C,COLLEGE_MAJOR_DECLARED__C,OTHER_MAJOR__C,NSC_VERIFIED__C,DUAL_ENROLLMENT__C,CLASS_RANK_PERCENTILE__C
a08C000000N1jBiIAJ,FALSE,,2013-06-21T19:07:52.000Z,005C0000003sZiUIAU,2014-08-06T23:54:28.000Z,005C0000004gIFSIA2,2014-08-06T23:54:28.000Z,,,,00380000010Uhn0AAC,0018000000kxhm2AAA,6/30/2014,,,FALSE,8/6/2014,0,Salesforce,,High School Diploma,8/13/2012,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwQAAQ,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2013-06-21T19:57:27.000Z,005C0000003CMzbIAG,2013-06-21T19:57:27.000Z,,,,00380000010Uhn0AAC,0018000000kxhm2AAA,10/20/2011,9,,FALSE,,0,Salesforce,,High School Diploma,8/30/2010,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwPAAQ,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-09-08T16:55:48.000Z,005C0000006wSJzIAM,2014-09-08T16:55:49.000Z,,,,00380000010UhmzAAC,0018000000kxhm2AAA,6/30/2014,9,,FALSE,9/8/2014,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a08C000000HWbJSIA1,FALSE,,2013-02-28T22:32:23.000Z,005C0000003sZiUIAU,2014-07-16T17:12:18.000Z,005C0000003teDhIAI,2014-07-16T17:12:18.000Z,,,,00380000010UhmvAAC,0018000000kxhm2AAA,6/30/2014,,,FALSE,7/16/2014,0,Salesforce,,High School Diploma,1/8/2013,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwLAAQ,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2013-02-28T23:26:46.000Z,005C0000003CMzbIAG,2013-02-28T23:26:46.000Z,,,,00380000010UhmvAAC,0018000000kxhm2AAA,8/6/2012,9,,FALSE,,0,Salesforce,,High School Diploma,9/1/2010,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwHAAQ,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2012-12-19T15:43:22.000Z,005C0000003CMzbIAG,2012-12-19T15:43:22.000Z,,,,00380000010UhmrAAC,0018000000kxhm2AAA,1/2/2012,9,,FALSE,,0,Salesforce,,High School Diploma,9/1/2010,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a08C000000DlUVgIAN,FALSE,,2012-02-07T23:01:13.000Z,005C0000003sZiUIAU,2014-08-14T18:05:30.000Z,005C0000006wSJzIAM,2014-08-14T18:05:30.000Z,,,,00380000010UhmqAAC,0018000000kxhm2AAA,6/30/2014,,,FALSE,8/13/2014,0,Salesforce,,High School Diploma,9/6/2011,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwFAAQ,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-08-06T23:43:11.000Z,005C0000004gIFSIA2,2014-08-06T23:43:11.000Z,,,,00380000010UhmpAAC,0018000000kxhm2AAA,6/30/2014,9,,FALSE,8/6/2014,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwEAAQ,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2013-10-25T21:21:06.000Z,005C0000003CMzbIAG,2013-10-25T21:21:06.000Z,,,,00380000010UhmoAAC,0018000000kxhm2AAA,4/10/2012,9,,FALSE,,0,Salesforce,,High School Diploma,8/30/2010,Transferred out,Relocation,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a08C000000N1islIAB,FALSE,,2013-06-21T17:52:03.000Z,005C0000003sZiUIAU,2013-06-21T17:52:03.000Z,005C0000003sZiUIAU,2013-06-21T17:52:03.000Z,,,,00380000010UhmmAAC,0018000000kxhm2AAA,11/19/2010,,,FALSE,6/21/2013,0,Salesforce,,High School Diploma,8/30/2010,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
