student_id,present_2012,present_2013,present_2014,present_2015,present_2016,excusedabsent_2012,excusedabsent_2013,excusedabsent_2014,excusedabsent_2015,excusedabsent_2016,excusedtardy_2012,excusedtardy_2013,excusedtardy_2014,excusedtardy_2015,excusedtardy_2016,absent_2012,absent_2013,absent_2014,absent_2015,absent_2016,tardy_2012,tardy_2013,tardy_2014,tardy_2015,tardy_2016,truant_2012,truant_2013,truant_2014,truant_2015,truant_2016,inschoolsuspension_2012,inschoolsuspension_2013,inschoolsuspension_2014,inschoolsuspension_2015,inschoolsuspension_2016,suspended_2012,suspended_2013,suspended_2014,suspended_2015,suspended_2016
10401,NA,163,177,146,25,NA,0,0,0,0,NA,0,0,0,0,NA,5,0,9,0,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10402,NA,174,175,175,28,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10408,NA,146,116,166,21,NA,0,0,0,0,NA,0,0,0,0,NA,18,11,0,0,NA,16,42,0,6,NA,5,1,0,1,NA,0,0,0,0,NA,0,0,0,0
10409,NA,165,169,139,14,NA,0,0,0,0,NA,0,0,0,0,NA,4,4,14,3,NA,2,1,23,8,NA,0,0,0,4,NA,1,0,0,0,NA,0,1,0,0
10413,NA,9,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10415,NA,133,132,124,27,NA,0,0,0,0,NA,0,0,0,0,NA,2,2,0,0,NA,46,36,47,2,NA,0,4,4,0,NA,0,0,0,0,NA,0,0,0,0
10416,NA,155,152,104,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,10,15,3,NA,NA,7,6,6,NA,NA,0,0,1,NA,NA,0,0,0,NA,NA,0,0,0,NA
10425,NA,172,176,169,27,NA,0,0,0,0,NA,0,1,0,0,NA,7,4,0,0,NA,0,0,0,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10426,NA,152,156,151,26,NA,0,0,0,0,NA,0,0,0,0,NA,12,12,4,0,NA,5,4,7,1,NA,2,3,0,0,NA,0,0,0,0,NA,0,0,0,0
10428,NA,175,177,161,28,NA,0,0,0,0,NA,0,0,0,0,NA,7,6,5,0,NA,0,0,0,1,NA,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0
10429,NA,168,168,167,29,NA,0,0,0,0,NA,0,0,0,0,NA,1,4,2,0,NA,4,1,0,0,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0
10435,NA,171,170,156,27,NA,0,0,0,0,NA,1,0,0,0,NA,0,9,0,0,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10436,NA,175,174,169,26,NA,0,0,0,0,NA,0,0,0,0,NA,4,0,1,0,NA,2,0,4,3,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10443,NA,158,174,167,27,NA,0,0,0,0,NA,1,0,0,0,NA,1,3,0,0,NA,2,5,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10444,NA,171,164,90,7,NA,0,0,0,0,NA,0,0,0,0,NA,0,2,0,0,NA,10,14,77,13,NA,1,2,8,0,NA,0,0,0,0,NA,0,0,0,0
10446,NA,161,150,154,21,NA,0,0,0,0,NA,0,0,0,0,NA,3,1,0,0,NA,19,11,19,7,NA,0,21,0,1,NA,0,0,0,0,NA,0,0,0,0
10449,NA,160,171,163,29,NA,0,0,0,0,NA,0,0,0,0,NA,1,0,0,0,NA,17,3,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10451,NA,154,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,16,NA,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10452,NA,21,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10453,NA,63,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,15,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10455,NA,42,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,7,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10456,NA,177,160,144,22,NA,0,0,0,0,NA,0,0,0,0,NA,3,0,0,0,NA,3,21,29,7,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10458,NA,156,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,11,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10460,NA,167,170,161,29,NA,0,0,0,0,NA,0,0,0,0,NA,6,2,3,0,NA,4,2,6,0,NA,2,0,2,0,NA,0,0,0,0,NA,0,0,0,0
10463,NA,165,156,141,23,NA,0,0,0,0,NA,0,0,0,0,NA,2,9,6,1,NA,3,15,23,3,NA,0,0,2,2,NA,0,0,0,0,NA,0,0,0,0
10464,NA,176,157,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,8,NA,NA,NA,2,4,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA
10465,NA,175,175,167,28,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10470,NA,173,174,174,29,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10472,NA,NA,164,148,20,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,6,8,1,NA,NA,7,9,5,NA,NA,2,3,0,NA,NA,0,0,0,NA,NA,0,0,0
10473,NA,155,155,154,24,NA,0,0,0,0,NA,0,0,0,0,NA,1,3,1,0,NA,17,11,15,3,NA,0,1,1,0,NA,0,0,0,0,NA,0,0,0,0
10474,NA,161,160,150,25,NA,0,0,0,0,NA,0,0,0,0,NA,1,2,0,0,NA,18,10,16,4,NA,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0
10478,NA,176,174,169,28,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,2,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10479,NA,151,56,92,28,NA,0,0,0,0,NA,0,0,0,0,NA,13,23,27,0,NA,1,49,29,0,NA,0,38,21,0,NA,0,0,0,0,NA,0,0,0,0
10482,NA,160,139,153,29,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,2,0,NA,20,41,19,0,NA,1,1,0,0,NA,0,0,0,0,NA,0,0,0,0
10483,NA,183,182,170,29,NA,0,0,0,0,NA,0,0,0,0,NA,1,0,2,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0
10486,NA,153,120,116,18,NA,0,0,0,0,NA,0,0,0,0,NA,5,2,2,1,NA,21,59,56,9,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10487,NA,179,171,167,27,NA,0,0,0,0,NA,0,2,0,0,NA,2,3,1,1,NA,1,4,4,1,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0
10489,NA,156,170,167,29,NA,0,0,0,0,NA,0,0,0,0,NA,1,4,0,0,NA,5,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10492,NA,175,169,172,28,NA,0,0,0,0,NA,0,1,0,0,NA,0,1,2,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10496,NA,168,177,159,28,NA,0,0,0,0,NA,0,0,0,0,NA,7,3,1,0,NA,1,3,3,0,NA,0,0,2,0,NA,0,0,0,0,NA,0,0,0,0
10497,NA,152,147,145,23,NA,0,0,0,0,NA,0,0,0,0,NA,3,6,2,1,NA,20,20,23,5,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0
10498,NA,181,174,173,29,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,0,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10499,NA,180,175,167,30,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,4,0,NA,0,0,0,0,NA,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0
10503,NA,174,159,148,24,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,6,0,NA,0,15,15,4,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10504,NA,171,174,170,28,NA,0,0,0,0,NA,0,0,0,0,NA,4,1,0,0,NA,0,0,3,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10505,NA,182,174,172,26,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,3,2,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
